Punto,Valor Analítico,Valor Numérico,Error Absoluto,Error Relativo (%)
"P(0.2, 0)",0.16000000000000003,0.16000000000000003,0.0,0.0
"Q(0.4, 0)",0.24,0.24,0.0,0.0
"R(0.3, 0.1)",0.2,0.20454174999999986,0.0045417499999998445,2.270874999999922
